"","Overall"
"mean.Beak.Length_Culmen",31.3107588984987
"mean.Beak.Length_Nares",31.7206013091204
"mean.Beak.Width",29.6285933948069
"mean.Beak.Depth",35.2175582135376
"mean.Tarsus.Length",27.3441168602813
"mean.Wing.Length",27.4125621898569
"mean.Kipps.Distance",37.097140164471
"mean.Secondary1",23.9287990879947
"mean.Hand.Wing.Index",35.115339000486
"mean.Tail.Length",30.4221277241941
"mean.Mass",28.1840483606993
"mean.Habitat.Density",22.5605097160826
"mean.Migration",23.0615921794652
"mean.Brain.Mass..g.",23.7270185580794
"mean.clutch.size",51.2210260809145
"mean.Maximum.longevity",36.1009005926883
"mean.GenLength",29.3580108054209
"mean.Range.Size",47.9897899310248
"mean.Annualtemp",38.8738579369665
"mean.AnnualPrecipitation",36.68300261789
"mean.Abundance.estimate.1.1.matched",44.7565593517894
"mode.HabitatForest",2.80998147771007
"mode.HabitatGrassland",1.15289315267413
"mode.HabitatHuman Modified",0.112985597828381
"mode.HabitatMarine",0.500025780575666
"mode.HabitatRiverine",0.291146313599952
"mode.HabitatShrubland",1.61377037737165
"mode.HabitatWetland",5.70201516125305
"mode.HabitatWoodland",1.9393622257627
"mode.Trophic.LevelHerbivore",19.704670004402
"mode.Trophic.LevelOmnivore",1.75600116407275
"mode.Trophic.LevelScavenger",0
"mode.Primary.LifestyleAquatic",1.8364887825687
"mode.Primary.LifestyleGeneralist",6.06816687563163
"mode.Primary.LifestyleInsessorial",3.08696495355287
"mode.Primary.LifestyleTerrestrial",4.28895608078959
"mean.Min.Latitude",40.5058279246111
"mean.Max.Latitude",49.8503284619218
"mean.Centroid.Latitude",39.3356961475826
"mean.Centroid.Longitude",100
