"","Estimate","Std. Error","t value","Pr(>|t|)","Q2.5","Q97.5"
"(Intercept)",-6.0496967920714,0.045442646483239,-133.128179370072,0,-6.13876437917855,-5.96062920496426
"loc",-0.053748091677913,0.0785579132878527,-0.684184309745712,0.49387507155553,-0.207721601722104,0.100225418366278
"gc",-0.0604616590240612,0.109622937280431,-0.55154204515969,0.581274809078137,-0.275322616093705,0.154399298045583
"symmetry.pval",-0.0115369939465019,0.0101006631602786,-1.14220163205439,0.253398303780193,-0.0313342937406481,0.00826030584764423
"loc:gc",0.153840159632459,0.192779912036784,0.798009284302945,0.424884563606724,-0.224008467959638,0.531688787224555
