"","Overall"
"mean.beak.size.pc1",75.3506622077827
"mean.Tarsus.Length",81.5248458483137
"mean.Wing.Length",68.5440912155911
"mean.Hand.Wing.Index",79.6081751445286
"mean.Tail.Length",78.7081127886878
"mean.Mass",65.2099216429013
"mean.Habitat.Density",47.9695254420195
"mean.Migration",37.0510286453567
"mean.Brain.Mass..g.",64.0980717060516
"mean.clutch.size",87.1757040866351
"mean.Maximum.longevity",73.2439350950517
"mean.GenLength",66.5211700964123
"mean.Range.Size",94.3254132615475
"mean.Annualtemp",78.0653790807389
"mean.AnnualPrecipitation",91.908614936369
"mean.Abundance.estimate.1.1.matched",69.6096152220491
"mode.HabitatForest",7.64136632792216
"mode.HabitatGrassland",6.26978669932567
"mode.HabitatHuman Modified",0.863095754810108
"mode.HabitatMarine",2.70763872261266
"mode.HabitatRiverine",0
"mode.HabitatShrubland",9.52689656412895
"mode.HabitatWetland",16.7049285712223
"mode.HabitatWoodland",8.57155700822099
"mode.Trophic.LevelHerbivore",6.62097138781848
"mode.Trophic.LevelOmnivore",10.8528618241002
"mode.Trophic.LevelScavenger",1.76327378439717
"mode.Primary.LifestyleAquatic",3.1876397045091
"mode.Primary.LifestyleGeneralist",5.33503919711741
"mode.Primary.LifestyleInsessorial",7.55392594311761
"mode.Primary.LifestyleTerrestrial",8.24085967085949
"mean.Latitude.span",100
"mean.Centroid.Latitude",72.353740304936
"mean.Centroid.Longitude",79.4983039662277
"mean.devmode",82.4193826976541
