"","mean.beak.size.pc1","mean.Tarsus.Length","mean.Wing.Length","mean.Hand.Wing.Index","mean.Tail.Length","mean.Mass","mean.Habitat.Density","mean.Migration","mean.Brain.Mass..g.","mean.clutch.size","mean.Maximum.longevity","mean.GenLength","mean.Range.Size","mean.Annualtemp","mean.AnnualPrecipitation","mean.Abundance.estimate.1.1.matched","mode.Habitat","mode.Trophic.Level","mode.Primary.Lifestyle","mean.Latitude.span","mean.Centroid.Latitude","mean.Centroid.Longitude","mean.devmode"
"Nicatoridae",3.06339092202781,3.25681366433696,4.5510659269597,2.53633882315642,4.56156654847114,3.64892513852017,0,0,0.282227221768817,0.65924562871185,2.24706796561217,1.25781911774524,14.5695172456941,24.17215127,7.2381634275597,13.9918825067221,"Forest","Carnivore","Insessorial",3.18138162044062,1.63445567547441,22.12666667,-1.036376151
"Macrosphenidae",2.73940530359312,2.99295063036927,4.06378989382376,2.06897024185465,3.80542715906344,2.67376543393989,0.606135803388497,0,-0.118687051414132,0.733969174920201,2.05373745781857,1.0611642258947,14.4656756538339,22.84071161,6.97788656050109,13.5691175709288,"Forest","Carnivore","Insessorial",2.85420071096669,1.82005893871342,22.67222222,-2.095909368
"Cisticolidae",2.60768650644065,2.96745861621986,3.95232227346271,2.36512071028318,3.92523036698761,2.34684290536645,0.622354128827533,0.0215062047954317,-0.709073331110205,1.07480164007479,2.00481150027167,0.861244937446199,14.4640870644973,22.62698941,7.14774084164396,14.2158662016291,"Forest","Carnivore","Insessorial",2.9504517327527,0.284783137597552,41.48706767,-2.6239599347931
"Acrocephalidae",2.95136627051025,3.18416718109854,4.25969909031582,2.96176565786514,4.17705424742428,2.91664822555273,0.825498632077677,0.664437074463922,-0.409882851984713,1.26803044066945,2.278799980908,1.0287335999609,14.6832702287589,17.74333112,6.97908288299211,15.345452699411,"Wetland","Carnivore","Insessorial",2.86567834422492,2.70544424454501,17.19096154,-2.14438474350943
"Locustellidae",2.76141542150121,3.14521039969919,4.16416879698637,2.71998647681264,4.22797707054676,3.06158571933036,0.760969776808542,0.478737309388403,-0.197695126860622,1.16760516006617,2.032752453884,0.895112960356416,14.1975565569821,17.25377532,7.31269781924217,14.1928400661978,"Shrubland","Carnivore","Generalist",2.744691833592,2.196294852387,94.54381818,-1.99086056394643
"Bernieridae",2.7611600265311,3.02263972669515,4.15959305861134,2.44471576944135,4.09797433030287,2.77938376542904,0.0870113770729632,0,-0.179629870122859,1.01160091167848,2.05680897789048,0.937343920421963,11.7949812510144,21.37064181,7.33781285287753,12.3993502154281,"Forest","Carnivore","Insessorial",2.28303152494004,2.94897413452235,47.59727273,-2.15406642781818
"Donacobiidae",3.26193531432865,3.45631668088323,4.39568296112137,2.26176309847379,4.59005654817804,3.60549784517489,1.09861228866811,0,0.17512908621245,0.8754687373539,2.21868422948306,1.1915256231808,15.9696692547796,24.93561497,7.56117807960998,15.3038864397088,"Wetland","Carnivore","Insessorial",3.71819550844799,1.71918877639322,-60.43,-1.996932599
"Hirundinidae",2.4022149341584,2.45765371852306,4.70065351080195,3.94372929221212,4.12405745954832,2.96146119568088,0.953678263854032,0.674909593169674,-0.626616002956627,1.26066814806547,2.16372873840546,0.892478006069846,15.5390306183882,20.55416115,7.06052004573252,17.0576034835856,"Grassland","Carnivore","Aerial",3.36795078786852,1.32554863822102,-4.473625,-2.26648294298795
"Phylloscopidae",2.45664300451846,2.88957779223327,4.0410899015776,2.87121394439621,3.79569345842017,2.07765423114152,0.347542460669038,0.743790913428083,-1.05325658694731,1.44691898293633,2.02437265488928,0.682141034530043,14.5025143213212,16.57451058,7.22097054746429,15.48448949225,"Forest","Carnivore","Insessorial",2.77658074350932,3.36886110671522,89.07885714,-2.01444681094366
"Scotocercidae",2.60028439282375,3.02568459592915,3.96886305019404,2.50739952521744,3.75710626638577,2.29116882326333,0.239229688853068,0.239229688853068,-0.385345712906057,1.17445036494725,1.98774775466228,0.778841105215236,14.0590817043788,18.72136179,7.47025614051602,13.8493268048016,"Forest","Carnivore","Generalist",2.71099031918272,2.66016240737408,96.03972222,-2.213744884
"Aegithalidae",2.09433015417359,2.80457176809283,3.96688990686899,2.81540871942271,4.01078177745141,1.90508815453506,0.587786664902119,0.0953101798043249,-0.887994862719308,1.78967396273703,2.18486564550339,0.798102646496208,14.866046439178,9.934917067,6.95202782166796,15.375276550977,"Forest","Carnivore","Insessorial",2.8657944164396,3.41490302871827,72.015,-2.524622143
"Pycnonotidae",2.96721634472089,2.99710166500938,4.50598227775355,2.71777709973553,4.43038708855488,3.56860051791255,0.302949544696206,0.0953101798043249,0.168442351344123,0.840292863298378,2.34175623857272,1.11351452110195,14.151594254828,23.34153544,7.51888308104135,14.6835869348591,"Forest","Herbivore","Insessorial",2.77616232929307,1.52906048208051,64.36096,-2.30629373521138
"Sylviidae",2.55760233483598,3.08116983219931,4.17279791816041,2.70772756839521,4.22579718282144,2.79027415090576,0.609064063121334,0.426742506871239,-0.405332259932874,1.27492454042425,2.21668181176675,0.891680185516258,14.4191776323652,16.14922278,6.72389568918157,14.667114695872,"Shrubland","Carnivore","Insessorial",2.73781337727999,3.3162954211974,59.86912281,-2.15685709192857
"Zosteropidae",2.67736187252591,2.90507790546834,4.11423569328145,2.8747644844497,3.83221290951506,2.6216447008958,0.287682072201781,0.0165293022790794,-0.529114064122046,1.00168174922321,2.11664433498532,0.815731793726245,12.5958354024691,22.94909277,7.80314011676906,14.011949388796,"Forest","Omnivore","Insessorial",1.75369966398701,-0.546335714999774,112.775678,-2.07865088163866
"Pellorneidae",2.89112593176888,3.25176122260763,4.2813149330438,2.20484294595324,4.06852541508406,3.28091121578765,0.245122458206898,0,0.209320450960729,1.00246842811521,2.05354669069979,1.04224497829387,13.3948245581727,23.6696016,7.70541315405419,12.722772633583,"Forest","Carnivore","Terrestrial",2.6715457951453,2.17418337818952,92.075,-1.9115868062807
"Leiothrichidae",3.12015985192904,3.5048003537447,4.59012558132819,2.23524799281804,4.68528181436346,4.14253136980537,0.3974329364109,0.0392207131532813,0.35966197830635,1.10803742915771,2.25575810903968,1.241881628868,13.4916487375448,18.97991107,7.39158926453745,13.7336126751503,"Forest","Carnivore","Insessorial",2.40026400694938,2.84376110095771,84.20678261,-1.84898808975591
"Bombycillidae",2.73868717077962,2.90325142057701,4.66595165856163,3.63758615972639,4.09211986725567,3.75575898303142,0.287682072201781,0.980829253136726,0.183787148955565,1.6094379124341,2.47046134696799,0.950191138415847,15.7661472076394,4.084528779,6.56492052607346,17.242444592383,"Forest","Herbivore","Insessorial",2.94303448437786,3.98576900737856,19.81,-2.26555776033333
"Ptiliogonatidae",2.71634900391691,3.0130809118886,4.55676744675992,2.97552956623647,4.61239403107741,3.61024200859686,0.22314355131421,0,-0.200355189683779,0.75377180237638,2.37585247373549,1.1923015166517,12.9531289848692,16.7313417,7.65277308754051,13.7839909946866,"Forest","Omnivore","Insessorial",2.10819095577554,2.78480545995551,-92.05333333,-1.737868216
"Regulidae",2.34660197841082,2.84296951919576,4.00033908653775,3.08648663682246,3.6859585256027,1.71079040663415,0.287682072201781,0.916290731874155,-1.04191604577937,2.148850993052,1.92497733912613,0.606064763592491,15.4748465881795,9.47337231,6.9649722604403,18.1353029369074,"Forest","Carnivore","Insessorial",3.28328933844265,3.7650685925487,-6.75,-2.178277667
"Sittidae",2.9511831037165,2.89630649357377,4.38340960655227,3.15912582046243,3.8221764442996,2.85194438067981,0.164303051654913,0.10178269418091,-0.224266403977379,1.64711897940179,2.19557003199733,0.934020505233434,14.7283332186255,13.39416313,7.05800190446837,15.0369187044826,"Forest","Carnivore","Insessorial",2.85843871112092,3.41274944654596,54.27142857,-2.249520372625
"Polioptilidae",2.61788233272199,2.86258176095689,3.86576962091068,2.5452697997766,3.83658081033318,1.93055476092376,0.587786664902119,0.125163142659888,-0.868501068038307,1.13943428318836,1.841925069908,0.669693481736379,14.7502191674386,22.5469754,7.3872864083641,17.4511824463787,"Forest","Carnivore","Insessorial",3.03065381778869,2.12639852481348,-80.51384615,-2.317370637
"Troglodytidae",2.97260094169282,3.10551591968186,4.12299522472146,2.47428129426527,3.93785714359606,3.00791387317554,0.498555530922324,0.104140259648201,-0.290193794853846,1.26753428572184,2.08161797502959,0.913212281103181,14.255090082202,20.50780406,7.49033395415129,15.4673066701429,"Forest","Carnivore","Insessorial",2.7910079805609,2.15228673950348,-79.27841463,-1.9438080036076
"Certhiidae",2.89283785014505,2.7437033040493,4.18780117341084,2.9303044680536,4.20419498320256,2.23359222147138,0,0,-0.906241396021154,1.63217739940359,1.88864230585004,0.636147125651148,14.923313246567,10.34202882,6.97285936172209,14.6386952567969,"Forest","Carnivore","Insessorial",3.00094090753771,3.55696579995891,60.36555556,-2.0218829598
"Timaliidae",2.966840639876,3.13879688480495,4.19428825947324,2.16756190499592,4.10658814324907,3.11022487767319,0.122602322438486,0,0.121544840078344,1.20011923515666,1.99909857971574,0.92484264817359,13.3689581812475,21.29989025,7.69055805911677,13.0791725078555,"Forest","Carnivore","Insessorial",2.57387748820913,2.74241235104178,101.5890244,-1.91199421611111
"Buphagidae",2.93651291389402,3.05635689537043,4.77449093060479,3.37416870927424,4.57161340245925,4.00003388275086,1.09861228866811,0.405465108108164,0.22314355131421,1.01160091167848,2.25830718639121,1.23074655209534,15.0024027811626,24.36029974,6.60247387524189,14.8292564402748,"Woodland","Carnivore","Insessorial",3.89406268005115,0.573800422927379,23.655,-1.261991548
"Mimidae",3.34783797081645,3.50767492041732,4.66093874537209,2.90287496544872,4.69943704080905,4.12247458874795,0.707745980126025,0.302280871525108,0.599710355979466,1.12562508786783,2.46788194508955,1.13033982068577,14.0950340752287,19.58460273,6.86439189275575,15.7997354355796,"Shrubland","Omnivore","Generalist",2.60638654717811,2.57267958290069,-87.06764706,-1.3426414335
"Sturnidae",3.21172303172683,3.38740574306081,4.80989792967104,3.27604635981247,4.544783035973,4.48423445855505,0.641853886172395,0.255346691879267,0.806379707225997,1.23777846085382,2.49097149719793,1.26506425842981,14.1433022863234,23.03591699,7.45213847903106,16.765448558183,"Forest","Herbivore","Insessorial",2.6575677799032,1.39821839911916,74.8106422,-2.3410126054955
"Cinclidae",3.03495298670727,3.36314931402463,4.48096658252878,3.20193310413789,3.96195537417635,4.0102380529251,1.09861228866811,0,0.344237924037552,1.20597080698861,2.2719206493983,0.928030626047821,15.3659967850431,7.815889389,6.65729094866554,13.9027405443905,"Riverine","Carnivore","Generalist",3.64738014693591,3.09122425501321,-18.958,-1.737868216
"Turdidae",3.13411366471105,3.4323729991306,4.7486848329337,3.2219863669124,4.49365831078567,4.23871774429683,0.34830669450351,0.445512609506035,0.471834846543417,1.08223966950262,2.41759120456321,1.21467291471723,14.4010051859332,17.17105415,7.33064467334159,16.4584277679333,"Forest","Omnivore","Generalist",2.88912653832086,2.67789335340046,7.3904,-1.93510592462092
"Muscicapidae",2.80179900683863,3.14557382383248,4.39930634483448,2.96838990779137,4.16157386994423,3.19002805687388,0.509835034494404,0.403255162643202,-0.247652925912438,1.17062282464438,2.14220825146913,0.993395533417002,14.5707873425807,19.36638036,7.22057438208522,14.5787378435585,"Forest","Carnivore","Insessorial",2.87722251866364,2.50722145144645,68.21530822,-1.99226099067224
"Promeropidae",3.20680324363393,3.28391422104742,4.45248509832244,2.7173402480093,4.85965735358223,3.52164353473802,0.336472236621213,0.336472236621213,0.160416721405905,0.641853886172395,2.32962229439893,1.33022833852096,11.3760108241819,18.59820518,6.99201931874456,12.1041077471221,"Forest","Omnivore","Terrestrial",2.31826157237905,2.72667566522537,29.244,-1.624681684
"Dicaeidae",2.40152504084895,2.57532271839836,3.96229355481028,2.96904600812031,3.31094844615856,2.12292665367277,0.200670695280333,0.0219789065013838,-0.824228245120359,0.851752210736584,1.81704833199344,0.762053266081104,13.7828826524086,24.35869735,7.77749886723439,13.5928335754149,"Forest","Herbivore","Insessorial",2.58459412704998,1.38995046018703,118.7237209,-2.317370637
"Nectariniidae",3.13270901084394,2.7783624633214,4.08085943742773,2.79395802851604,3.81895589635865,2.36410896401175,0.490022496028119,0.0431721718088707,-0.734969675413784,0.651332630077286,2.17069179784067,0.983103064192619,14.0883073393755,22.88818748,7.39136500776666,14.0843010789742,"Forest","Omnivore","Insessorial",2.78930415381452,-2.35508441960934,54.2351145,-2.27820499775591
"Irenidae",3.10837390950377,2.93671693286853,4.54288553321989,2.90395430987283,4.28687028921145,3.59012102828691,0,0.143100843774007,0.0821205477755558,0.906240396020654,2.3775568243575,1.15463177691921,14.0518198568175,24.32859663,7.72924610623944,13.7080369223514,"Forest","Omnivore","Insessorial",2.92096728097115,2.22893855282575,105.9307692,-2.161932007
"Peucedramidae",2.66025953726586,2.92316158071916,4.26267987704132,3.3178157727231,3.96651119071222,2.39789527279837,0,0.693147180559945,-0.208373939739088,1.28093384546206,1.99088709144663,0.792171737607129,13.4486080330278,18.36510738,6.7438312405457,13.2986031442157,"Forest","Carnivore","Insessorial",3.07869379426834,3.1684242813721,-102.36,-1.75471387
"Urocynchramidae",2.54160199346455,3.09104245335832,4.29728540621879,2.69462718077007,4.35926964755127,3.35340671782581,0.693147180559945,0,-0.134068212845039,1.09861228866811,2.30736639035265,0.847299468243054,13.3494984400278,0.088995799,6.29715463805991,12.4136070047955,"Shrubland","Herbivore","Generalist",2.31154483436552,3.52105234347043,100.08,-1.624681684
"Ploceidae",2.88761433636797,3.04931425148118,4.35190354286092,2.89225404306321,4.01381018772802,3.35115425881774,0.739864805168899,0.034191365042397,0.236946516972649,1.06268027942172,2.20704772991555,1.06376480801851,14.1308704455352,23.14830759,7.11027912176019,14.8660573090077,"Forest","Herbivore","Insessorial",2.91732966753231,0.872393839279954,28.8627193,-1.79290241793966
"Viduidae",2.36368019235386,2.68886738168544,4.22668774920981,3.10548313751311,3.82275453766996,2.70203212877665,1.08180517035173,0.048790164169432,-0.410919958791128,1.18219900491788,2.13332871661116,0.716183872137873,14.6287349649557,23.70433222,6.93592087621267,14.1723557690067,"Shrubland","Herbivore","Terrestrial",3.10669208386225,0.081119051284792,20.403,-2.939125157
"Estrildidae",2.44005433261194,2.72044130661557,3.98762604267202,2.8922571721629,3.76576981127053,2.51760412641173,0.830250430873944,0.0664450993367242,-0.668292479643182,1.51033795187385,2.03623299274858,0.710209783887252,14.2148399382677,23.06754402,7.31867105915078,14.8507468338756,"Shrubland","Herbivore","Terrestrial",2.88481918088846,1.42428259224259,69.43247934,-2.88020581547887
"Prunellidae",2.60761580402614,3.02852209653827,4.33215776386584,3.10570712676256,4.13876009225249,3.06921505031379,0.810930216216329,0.733969174920201,-0.213094215461208,1.41098697371026,2.42732212723545,0.909474844799547,14.8622470520982,4.100285848,6.29899607976662,14.725747804411,"Shrubland","Omnivore","Terrestrial",3.09979194332857,3.76516511283255,89.00666667,-1.75471387
"Passeridae",2.59250150918972,2.90661341410972,4.37968837670319,3.25353147820441,4.03055429902528,3.17596832385692,0.967584026121706,0.233614851389838,-0.00140261620637036,1.44838849091569,2.36629801685746,0.921669811052675,15.2046101766672,14.61666599,6.28966146313722,17.9047401828358,"Shrubland","Herbivore","Terrestrial",2.97801565091646,3.09355994318356,58.01878788,-2.1188740564
"Motacillidae",2.79220279499597,3.20755039521589,4.42228231506856,3.14255949880264,4.21873817843104,3.23692729704176,1.04054848779487,0.470003629245736,-0.408337801343125,1.28597163944177,2.0458640628748,0.890696330564535,15.3774449249899,15.78069997,6.92002728197457,16.5486827532805,"Grassland","Carnivore","Terrestrial",3.29672418540519,2.31984792715619,37.31920635,-1.46517049409524
"Fringillidae",2.62857114121608,2.84956122280099,4.33760131194669,3.25559913402564,3.98814027309495,3.0845633634031,0.631903555419227,0.248560364437329,-0.071551939896864,1.33792077680652,2.29262532283733,0.913490590334495,14.6428705087708,15.16741594,7.06537548389753,15.805224827083,"Forest","Herbivore","Insessorial",2.81049967731315,2.82960660110099,-0.306544503,-1.81373852579695
"Rhodinocichlidae",3.13983261752775,3.26575941076705,4.39691524716763,2.2082744135228,4.36691299686383,3.87120101090789,0,0,0.335471736287629,0.693147180559945,2.37925990242905,1.29866633613287,12.0035390548446,23.87551945,7.48176283594874,13.2936812821304,"Shrubland","Herbivore","Insessorial",2.95282477254271,2.60046499042227,-85.96,-1.634242462
"Plectrophenacidae",2.55851846738931,3.01144156742324,4.55842792340103,3.42045519815758,4.1764364508894,3.4924589730419,1.09861228866811,1.09861228866811,-0.021203207651103,1.51878354423896,2.1467019134221,0.944137430856402,14.8892607713674,1.295918695,6.12715138359348,17.6469527639568,"Grassland","Herbivore","Terrestrial",2.91732018033081,4.09894507478408,-90.49166667,-1.7320152104727
"Cardinalidae",2.84624086154428,3.04352988196956,4.43731843482812,2.93529643582297,4.26405803497343,3.45328896854611,0.44628710262842,0.432864082512495,0.186656591106941,1.06868162258044,2.30135722627414,1.04807872631283,14.3615403678891,20.57016457,7.38826396576105,16.179340767287,"Forest","Herbivore","Insessorial",2.93571684125019,2.68506337887388,-84.68695652,-1.64420177466667
"Thraupidae",2.70565740331019,2.99522001287089,4.29768505492004,2.93836296065287,4.08021101046823,3.14875409174235,0.574521471641658,0.149906027164526,-0.108004981399402,0.919249313751419,2.20387487655046,1.00719018306435,14.0687048215804,19.89717358,7.39356028629037,14.2239223908779,"Forest","Herbivore","Insessorial",2.83383361917524,2.03617292080144,-67.79076712,-1.63403926686968
"Passerellidae",2.73232021644346,3.18168894738029,4.2846177975405,2.63058509566702,4.25246933714798,3.34057768106278,0.593892222438517,0.386921530476209,0.0130486133439242,1.20990454382233,2.22282221300676,0.985541037102197,14.241029274942,16.44146111,7.15980621808346,16.6557908486967,"Forest","Omnivore","Generalist",2.71020660445902,2.77250439305918,-87.09174603,-1.67674642911765
"Emberizidae",2.57577237747927,2.95121953337406,4.36305201809719,3.09546723953735,4.1763365882779,3.01971077024868,0.850776124919778,0.850776124919778,-0.204220162150304,1.39235702696515,2.12390881453256,0.793527619847118,15.3511880686351,10.56013503,6.53697695252589,15.4255765649057,"Shrubland","Omnivore","Terrestrial",3.18229280070472,3.56711824149418,76.39121951,-1.62709014385714
"Parulidae",2.60124831828475,2.96875116458971,4.1381842212494,2.99178932534035,3.98329229627865,2.43637108270598,0.266628663594374,0.64087875193614,-0.68292361971076,1.28898852040835,2.10363418162178,0.836630329346026,14.4171816422191,16.73120913,7.24197284502857,16.5415511675078,"Forest","Carnivore","Insessorial",2.84075347334635,3.17698977235564,-85.1052381,-1.80435613454867
"Icteridae",3.36297616884196,3.40870120873264,4.78160908885239,3.08120400414616,4.60738887687218,4.35210009650702,0.648913925341914,0.304368991407008,0.772324764737427,1.16828003779613,2.43851834397105,1.22981207729872,14.7230734689753,21.05488659,7.32606735691498,16.5198362637367,"Forest","Omnivore","Insessorial",3.01441313038127,1.93962452355054,-76.52871287,-1.89545375823529
