"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",10.3871924411679,0.798122267328084,8.80892331243714,11.959460098217
"genlen",-8.92152660219845,1.05198209860927,-11.0252881480509,-6.88078208705269
"gcgenes",42.6488251718932,2.18425743004211,38.3215122007345,46.9452485522051
"genproploc",-8.2304586052866,1.54455972704908,-11.2701868478405,-5.21189285418285
"genlen:gcgenes",-20.9874634277131,2.80811808693731,-26.5695641609463,-15.616160045184
"genlen:genproploc",1.5811525397714,1.75128248504963,-1.78683462667301,5.02135958547557
"gcgenes:genproploc",-18.0933586439901,4.16573580399917,-26.3391314168808,-10.0215375191166
"genlen:gcgenes:genproploc",2.88528086962199,4.34626350645619,-5.4885814245126,11.4385310442155
