"","Overall"
"mean.beak.size.pc1",44.9367842473649
"mean.Tarsus.Length",27.6788054587104
"mean.Wing.Length",80.6973318360837
"mean.Hand.Wing.Index",37.7276042580146
"mean.Tail.Length",28.6699351124923
"mean.Mass",70.9696614984325
"mean.Habitat.Density",6.03147382816024
"mean.Migration",1.49850628451124
"mean.Brain.Mass..g.",38.2988870817041
"mean.clutch.size",7.68080019845489
"mean.Maximum.longevity",18.7120829281763
"mean.GenLength",35.7822978111624
"mean.Range.Size",9.29861215423531
"mean.Annualtemp",15.6413191375403
"mean.AnnualPrecipitation",10.6019272387501
"mean.Abundance.estimate.1.1.matched",8.94659855428391
"mode.HabitatDesert",0
"mode.HabitatForest",1.67013327745506
"mode.HabitatGrassland",0.829611373518518
"mode.HabitatHuman Modified",0.676387420270536
"mode.HabitatMarine",2.1837695785544
"mode.HabitatRiverine",0.0201697822301249
"mode.HabitatRock",0.12777944627421
"mode.HabitatShrubland",1.32560414687471
"mode.HabitatWetland",2.04522265178914
"mode.HabitatWoodland",2.68755652836312
"mode.Trophic.LevelHerbivore",1.16936908032751
"mode.Trophic.LevelOmnivore",3.25609660133048
"mode.Trophic.LevelScavenger",0.0107887348499652
"mode.Primary.LifestyleAquatic",0.91955303850067
"mode.Primary.LifestyleGeneralist",0.473032728150289
"mode.Primary.LifestyleInsessorial",5.99441271886891
"mode.Primary.LifestyleTerrestrial",1.70037173920207
"mean.Latitude.span",11.5546850065177
"mean.Centroid.Latitude",11.393271947063
"mean.Centroid.Longitude",23.1592449758243
"mean.devmode",100
