"","Overall"
"mean.beak.size.pc1",32.5803934449331
"mean.Tarsus.Length",25.8677313321307
"mean.Wing.Length",35.7843216303637
"mean.Hand.Wing.Index",28.3834204490411
"mean.Tail.Length",55.2469299712951
"mean.Mass",35.9019015260395
"mean.Habitat.Density",44.5494348412939
"mean.Migration",23.8014669411939
"mean.Brain.Mass..g.",32.3553956050775
"mean.clutch.size",30.0726748112261
"mean.Maximum.longevity",48.3462510715261
"mean.GenLength",40.8228466049678
"mean.Range.Size",28.9529734787466
"mean.Annualtemp",31.5190616992194
"mean.AnnualPrecipitation",34.9403954090233
"mean.Abundance.estimate.1.1.matched",53.7211708628199
"mode.HabitatForest",3.2295614063311
"mode.HabitatGrassland",3.29783360146163
"mode.HabitatHuman Modified",0
"mode.HabitatMarine",0.044353037685815
"mode.HabitatRiverine",0.0526492670750154
"mode.HabitatShrubland",1.88988797848035
"mode.HabitatWetland",0.940768889048554
"mode.HabitatWoodland",1.26614827205449
"mode.Trophic.LevelHerbivore",2.49839151686376
"mode.Trophic.LevelOmnivore",3.49373931029931
"mode.Trophic.LevelScavenger",0.0016725110945476
"mode.Primary.LifestyleAquatic",0.0209991012281096
"mode.Primary.LifestyleGeneralist",2.64316884904338
"mode.Primary.LifestyleInsessorial",3.89535288514274
"mode.Primary.LifestyleTerrestrial",4.60573105648161
"mean.Latitude.span",32.4492943756528
"mean.Centroid.Latitude",26.9574424442223
"mean.Centroid.Longitude",100
"mean.devmode",62.2920534937812
