"","Overall"
"mean.beak.size.pc1",38.5295122805557
"mean.Tarsus.Length",24.088069586022
"mean.Wing.Length",29.2463874381316
"mean.Hand.Wing.Index",25.3127679299061
"mean.Tail.Length",21.1602615754907
"mean.Mass",35.6295958565462
"mean.Habitat.Density",18.4697054535092
"mean.Migration",13.7403289732159
"mean.Brain.Mass..g.",31.8783096169504
"mean.clutch.size",26.7293220306774
"mean.Maximum.longevity",31.7367298709338
"mean.GenLength",48.9755315959589
"mean.Range.Size",24.7515524538638
"mean.Annualtemp",25.5079215132232
"mean.AnnualPrecipitation",42.2561660651303
"mean.Abundance.estimate.1.1.matched",37.7201739542746
"mode.HabitatForest",2.28532679192
"mode.HabitatGrassland",2.96429482195344
"mode.HabitatHuman Modified",0.0369072220216361
"mode.HabitatMarine",0.472546203805921
"mode.HabitatRiverine",0
"mode.HabitatShrubland",1.83740558390365
"mode.HabitatWetland",0.427502633348279
"mode.HabitatWoodland",8.68518993482932
"mode.Trophic.LevelHerbivore",5.55631631620039
"mode.Trophic.LevelOmnivore",2.75961552273977
"mode.Trophic.LevelScavenger",0.0422934801832506
"mode.Primary.LifestyleAquatic",0.129986591364203
"mode.Primary.LifestyleGeneralist",2.63126096599008
"mode.Primary.LifestyleInsessorial",2.83043117595099
"mode.Primary.LifestyleTerrestrial",2.27692765959126
"mean.Latitude.span",28.2755177720443
"mean.Centroid.Latitude",31.554632679138
"mean.Centroid.Longitude",100
"mean.devmode",87.2558111025073
