"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0039956332543803,0.0118619639591866,-0.336844157352698,0.736616197928694,-0.0272450826143861,0.0192538161056255
"mean.beak.size.pc1",-0.00439657072725111,0.00499280500933478,-0.880581300297342,0.379687003568208,-0.0141824685455473,0.00538932709104507
"mean.Tarsus.Length",0.00758986915578017,0.00562545822684361,1.34920016285301,0.178921628928716,-0.00343602896883329,0.0186157672803936
"mean.Wing.Length",-0.000549820089671064,0.00665917987709214,-0.0825657362947151,0.934286111773805,-0.0136018126487717,0.0125021724694295
"mean.Hand.Wing.Index",0.00368074723211043,0.00382663605355449,0.961875438530783,0.337367705306731,-0.00381945943285637,0.0111809538970772
"mean.Tail.Length",-0.00419700223753479,0.00489841605842477,-0.856808034980283,0.392659484116078,-0.0137978977120473,0.00540389323697775
"mean.Mass",-0.00576767819190877,0.0126429274296009,-0.456197998764503,0.64878269496772,-0.0305478159539265,0.019012459570109
"mean.Habitat.Density",-0.000902415899111845,0.00372658242556233,-0.242156430761268,0.808927185669185,-0.00820651745321402,0.00640168565499033
"mean.Migration",-0.00356020677583113,0.00290342478585331,-1.22620940386606,0.221678373928113,-0.0092509193561036,0.00213050580444135
"mean.Brain.Mass..g.",0.00109785330790085,0.00821123999240197,0.133701281282329,0.893784122831605,-0.014996177077207,0.0171918836930087
"mean.clutch.size",0.000594606114471319,0.0032421692623723,0.183397616334271,0.854686891880294,-0.00576004563977838,0.00694925786872102
"mean.Maximum.longevity",-0.00661889526734598,0.00701111363093585,-0.944057622763488,0.346371488839276,-0.0203606779839802,0.00712288744928828
"mean.GenLength",0.00691509369879949,0.00877618457713225,0.787938498560965,0.431741093431565,-0.0102862280723797,0.0241164154699787
"mean.Range.Size",-0.00514021556732839,0.00412689094701054,-1.24554189420777,0.214507821481755,-0.013228921823469,0.00294849068881226
"mean.Annualtemp",-0.000380045077691214,0.00278869911769187,-0.136280416657415,0.891747788729894,-0.00584589534836729,0.00508580519298486
"mean.AnnualPrecipitation",0.000653505498520468,0.00318468537280253,0.20520253086897,0.837639500773944,-0.00558847783217248,0.00689548882921342
"mean.Abundance.estimate.1.1.matched",0.00480854975646959,0.00327097658213945,1.47006547913726,0.143242666934927,-0.00160256434452374,0.0112196638574629
"mode.HabitatForest",-0.0149548679786092,0.00985411849814783,-1.51762615615188,0.130815649875465,-0.0342689402349789,0.00435920427776053
"mode.HabitatGrassland",-0.0113069806383689,0.00928305226429778,-1.21802402016577,0.224765998666349,-0.0295017630763926,0.0068878017996547
"mode.HabitatHuman Modified",-0.0238328673794518,0.0178260939284554,-1.336965208144,0.182875681238896,-0.0587720114792245,0.0111062767203208
"mode.HabitatMarine",-0.0160744688840332,0.00941295556096401,-1.70769624693596,0.0893702150080703,-0.0345238617835227,0.00237492401545623
"mode.HabitatRiverine",-0.0262047876433777,0.0130180439860004,-2.01295891084393,0.0455686921244166,-0.0517201538559384,-0.000689421430816999
"mode.HabitatShrubland",-0.0195958303031057,0.0100382763021728,-1.95211107098776,0.052434314725588,-0.0392708518553645,7.9191249153069e-05
"mode.HabitatWetland",-0.0120521725252873,0.00930797729806849,-1.29482186508859,0.196995359983228,-0.0302958080295015,0.00619146297892696
"mode.HabitatWoodland",-0.0162639208490708,0.0102533525374416,-1.58620517432524,0.114400542552844,-0.0363604918224564,0.00383265012431484
"mode.Primary.LifestyleAquatic",0.00486202463258436,0.00671432135823674,0.724127484100817,0.469902196018647,-0.00829804522955966,0.0180220944947284
"mode.Primary.LifestyleGeneralist",0.00579220575440815,0.00635983762987615,0.910747426506383,0.363613596544189,-0.0066730760001491,0.0182574875089654
"mode.Primary.LifestyleInsessorial",-0.000661693001538983,0.00529139536951396,-0.125050757943979,0.900619147690378,-0.0110328279257863,0.00970944192270838
"mode.Primary.LifestyleTerrestrial",0.00163365075091846,0.00564253367264712,0.289524324655391,0.772504384796985,-0.0094257152474699,0.0126930167493068
"mean.Latitude.span",0.00140944627372253,0.00414978973522047,0.339642816540837,0.734510805893801,-0.00672414160730958,0.00954303415475465
"mean.Centroid.Latitude",0.00397828438789701,0.00250825097867919,1.58607907331184,0.114429152086105,-0.000937887530314195,0.00889445630610821
"mean.Centroid.Longitude",-0.00348969970465848,0.00232054643612023,-1.50382670664974,0.134331214076239,-0.00803797071945413,0.00105857131013716
"mean.devmode",-0.000967726009435693,0.0043625345646696,-0.22182655405711,0.824693583437022,-0.00951829375618811,0.00758284173731673
