"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.037703290357669,0.0192694613886653,1.95663436549643,0.0518874318311949,-6.48539641149512e-05,0.0754714346794529
"mean.beak.size.pc1",0.00299563290332831,0.00776514152828926,0.385779562731071,0.700100804123872,-0.0122240444921186,0.0182153102987753
"mean.Tarsus.Length",0.00784536836283729,0.00892744176944611,0.878792443058864,0.380647675701619,-0.00965241750527708,0.0253431542309517
"mean.Wing.Length",-0.00273488090445486,0.0106698067903901,-0.256319627729161,0.797987318022784,-0.0236477022136194,0.0181779404047097
"mean.Hand.Wing.Index",0.00674311334516676,0.00625878579069453,1.07738362849745,0.282704247372234,-0.00552410680459452,0.019010333494928
"mean.Tail.Length",0.00263807901695508,0.00759097676536297,0.347528269219902,0.728587425069918,-0.0122402354431563,0.0175163934770665
"mean.Mass",0.0361982244433577,0.018663538981677,1.93951556984425,0.0539512881660883,-0.000382311960729208,0.0727787608474446
"mean.Habitat.Density",0.0111452084004471,0.005475678581245,2.03540223098942,0.0432291456109731,0.000412878381206851,0.0218775384196873
"mean.Migration",-0.00493510229997593,0.00423555100647228,-1.16516181541308,0.245445595731695,-0.0132367822726616,0.00336657767270974
"mean.Brain.Mass..g.",-0.0233142061957933,0.0121922751177704,-1.91221129531539,0.0573858544933399,-0.0472110654266234,0.000582653035036681
"mean.clutch.size",0.0107134732098402,0.00498060095044603,2.15104026932347,0.0327630909498477,0.000951495346965946,0.0204754510727144
"mean.Maximum.longevity",0.0247174749760211,0.0105325385399136,2.34677280148114,0.0199890777645205,0.00407369943779046,0.0453612505142517
"mean.GenLength",-0.0276493954824245,0.0133818060927729,-2.06619310508146,0.040196111768547,-0.0538777354242594,-0.00142105554058955
"mean.Range.Size",0.00639942647071463,0.0063697124603572,1.00466489037651,0.316363448228886,-0.00608520995158547,0.0188840628930147
"mean.Annualtemp",-0.000893518629227661,0.00420471861022885,-0.212503787305527,0.831946728682268,-0.00913476710527621,0.00734772984682089
"mean.AnnualPrecipitation",0.00355711255282229,0.00477039270434085,0.74566451302541,0.456811386923838,-0.00579285714768578,0.0129070822533304
"mean.Abundance.estimate.1.1.matched",-0.000358174038264193,0.00500016439794884,-0.0716324524071895,0.942971377636267,-0.0101584962582439,0.00944214818171553
"mode.HabitatForest",-0.0111802733274113,0.0149449446676012,-0.748097338336003,0.455346288720161,-0.0404723648759096,0.018111818221087
"mode.HabitatGrassland",-0.0302352761911235,0.014062739962775,-2.15002739659258,0.0328442988851142,-0.0577982465181625,-0.00267230586408457
"mode.HabitatHuman Modified",-0.000295858945895588,0.029271401896877,-0.0101074402564625,0.991946399477062,-0.0576678066637745,0.0570760887719833
"mode.HabitatMarine",0.00586089379478457,0.0143010108806454,0.409823742090607,0.68240685802189,-0.0221690875312804,0.0338908751208495
"mode.HabitatRiverine",0.000192493710289239,0.0195340917196568,0.00985424421323547,0.992148139237435,-0.038094326060238,0.0384793134808165
"mode.HabitatShrubland",-0.00665965995085979,0.015170482236534,-0.438988019433015,0.66117974023723,-0.0363938051344664,0.0230744852327468
"mode.HabitatWetland",-0.0121364631745695,0.0141426040394653,-0.858149117425789,0.39191459342565,-0.0398559670919214,0.0155830407427824
"mode.HabitatWoodland",-0.0236835076760291,0.0154833539549298,-1.52961094508133,0.127811956583498,-0.0540308814276915,0.00666386607563343
"mode.Primary.LifestyleAquatic",-0.00698125066747181,0.0104949345128544,-0.665201927550954,0.506745334654105,-0.0275513223126665,0.0135888209777229
"mode.Primary.LifestyleGeneralist",-0.0147756064763178,0.00962185530499221,-1.53562966891132,0.12632852410239,-0.0336344428741025,0.00408322992146696
"mode.Primary.LifestyleInsessorial",0.00372896498519141,0.00814993811123534,0.457545190441476,0.647813230987693,-0.0122449137128298,0.0197028436832127
"mode.Primary.LifestyleTerrestrial",0.00710951352697995,0.0086086841491567,0.825853684930047,0.409945126090547,-0.00976350740536718,0.0239825344593271
"mean.Latitude.span",-0.0126348841739075,0.00625451055748477,-2.02012356646954,0.0448051653907269,-0.0248937248665777,-0.000376043481237393
"mean.Centroid.Latitude",-0.00379360296101767,0.00373957758666635,-1.01444691896324,0.31168732770256,-0.0111231750308837,0.00353596910884838
"mean.Centroid.Longitude",0.00119734142655995,0.00349147611465518,0.342932727374021,0.732036331525702,-0.0056459517581642,0.0080406346112841
